,tweet_text
1/3/2019 23:51,"b'RT @SufiHoax: Beliau dicintai banyak orang, beliau dibenci oleh para mafia dan koruptor #01JokowiBanyakCinta'"
1/3/2019 23:51,"b'RT @SufiHoax: Dukungan dari mana aja, selalu datang terus menerus #01JokowiBanyakCinta https://t.co/HUIQ0NSxi5'"
1/3/2019 23:50,b'RT @ridlwandjogja: Ada yg blg trending topik no 1 buat apaan ? \nSatu : soliditas jejaring pendukung di medsos.\nDua : tagar memudahkan campa\xe2\x80\xa6'
1/3/2019 23:50,"b'RT @BiLLRaY_: Harta yg paling berharga adalah keluarga, Istana yg paling indah adalah keluarga. Puisi yg paling bermakna adalah keluarga, M\xe2\x80\xa6'"
1/3/2019 23:50,b'@RealForJKW @jokowi @vita_diahErv @BahanaRahayu2 @PersRini @PANDHITADHYASA1 @PenguntaiKata @Ken2steve\xe2\x80\xa6 https://t.co/0KMHj8mGBy'
1/3/2019 23:49,b'RT @BiLLRaY_: Ini FAKTA bukan menebar HOAX..!\nTidak ada...tidak ada Presiden spt Pak Jokowi yg rendah hati dan dicintai rakyatnya. \n\n#01Jok\xe2\x80\xa6'
1/3/2019 23:47,b'Pintar2 dikitlah ya #01JokowiBanyakCinta #01JokowiLagi #2019PilihJokowi #IndonesiaMaju https://t.co/1fSjdL1XBs'
1/3/2019 23:46,"b'RT @SufiHoax: Tadi lewat Sudirman hingga Manggarai, jembatan layang semakin banyak dan keren. Luarbiasa pak Jokowi #01JokowiBanyakCinta'"
1/3/2019 23:46,"b'Dasar gk punya otak, sekarang malah nyalahin aparat \xf0\x9f\x98\x82 #KoalisiHoax #01JokowiBanyakCinta #01JokowiLagi\xe2\x80\xa6 https://t.co/Q6HFy4rglQ'"
1/3/2019 23:45,"b'RT @MurtadhaOne: LUAR BIASA!\nAntusias warga menanti iring iringan Bpk Jokowi\nDan saat Mobil pak Jokowi Berhenti, warga pun langsung merubun\xe2\x80\xa6'"
1/3/2019 23:45,b'Berita Baik di Awal 2019 #01JokowiBanyakCinta #01JokowiLagi #2019PilihJokowi #JokowiMembangunIndonesia https://t.co/XwXzgHCV3a'
1/3/2019 23:44,b'#01JokowiBanyakCinta #01JokowiLagi #IndonesiaMaju #2019PilihJokowi https://t.co/xbSU4hSDxT'
1/3/2019 23:44,"b'RT @KosongSatuMetal: 3. Mari kita bernyanyi ""harta yang paling berharga adalah keluarga"". OST Filmya Keluarga Cemara yang tayang perdana ha\xe2\x80\xa6'"
1/3/2019 23:44,"b'RT @KosongSatuMetal: 5. Sebelum memimpin Indonesia, ada baiknya Prabowo memimpin keluarga dulu alias cari istri. Supaya bisa nyanyi ""harta\xe2\x80\xa6'"
1/3/2019 23:44,b'RT @KosongSatuMetal: 1. Hari ini Keluarga Cemara tayang di semua bioskop Indonesia. Bagus nih ditonton Prabowo biar semangat nyari istri. #\xe2\x80\xa6'
