,tweet_text
1/3/2019 22:17,b'RT @RanupsProSandi: #CeritaPrabowo \n\nDemokrat: Di Atas Kertas Penguasa Berpotensi Akali Pemilu https://t.co/Yzm95Xm0uE'
1/3/2019 22:17,b'RT @Dody_Lukas___: 54. Prabowo dinilai berhasil membuat nama kopassus dikenal seluruh negara serta diperhitungkan oleh negara lain diantara\xe2\x80\xa6'
1/3/2019 22:17,b'RT @rifki________08: Yg blm tau prestasi @prabowo simak ni pideonya. Dunia memujinya saat membebaskan 12 tahanan yg disandera kelompok papu\xe2\x80\xa6'
1/3/2019 22:17,b'RT @PriscaSirandos: Berbagai kegiatan sosial yang sama sekali tidak menggunakan dana negara terus dilakukan oleh organisasi dan partai Geri\xe2\x80\xa6'
1/3/2019 22:17,"b'RT @Dody_Lukas___: 53. Banyak bilang jangan mengkritik tapi tunjukkan solusi, menurut saya masyarakat mungkin tidak mengerti bahwa kritik i\xe2\x80\xa6'"
1/3/2019 22:17,"b'RT @Dody_Lukas___: 52.  ""Ini bukan yang pertama saya bersentuhan dengan masyarakat. Saya sudah berurusan dengan desa sejak usia 17 tahun. B\xe2\x80\xa6'"
1/3/2019 22:17,"b'RT @Rahaman_keisha: Setelah pak prabowo memimpin tidak ada lagi orang yg seenaknya menghina ulama, tidak ada lagi tebang piliih hukum.\n#Cer\xe2\x80\xa6'"
1/3/2019 22:17,b'RT @PutrianiWinda: #CeritaPrabowo #CeritaPrabowo #CeritaPrabowo https://t.co/vropgVrpLj'
1/3/2019 22:17,b'RT @Dody_Lukas___: 51. Siapa bilang prabowo benci aktivis siapa bilang prabowo benci LSM adalah orang yang tidak mau melihat sisi lain dari\xe2\x80\xa6'
1/3/2019 22:17,"b'RT @Dody_Lukas___: 50. Menurut salah satu pegawai rumah Prabowo yang tak mau disebutkan namanya, anak-anak warga tak mampu yang dibiayai se\xe2\x80\xa6'"
1/3/2019 22:17,b'RT @MichelaniaAdam: Tukang kompor tagar #CeritaPrabowo \n\n@Dody_Lukas___ \n@Rusydi_riau \n@zarazettirazr \n\nDAN PARA PEJUANG PADI lainnya yang\xe2\x80\xa6'
1/3/2019 22:17,b'RT @Dody_Lukas___: 49. Salah satu perhatiannya terhadap dunia pendidikan juga dapat dilihat dari pernyataan anaknya dikutip dari https://t.\xe2\x80\xa6'
1/3/2019 22:16,b'RT @RajaPurwa: Keluarga @prabowo\nKELUARGA PEJUANG\n\n2 (Dua) putra sang kakek dari @prabowo gugur sebagai pahlawan pada hari yang sama melawa\xe2\x80\xa6'
1/3/2019 22:16,b'RT @_Dina_8: #CeritaPrabowo #CeritaPrabowo \n#CeritaPrabowo #CeritaPrabowo https://t.co/zodOoH3uZ2'
1/3/2019 22:16,b'RT @PutrianiWinda: #CeritaPrabowo #CeritaPrabowo #CeritaPrabowo https://t.co/gLnTgrhBFo'
1/3/2019 22:16,"b'RT @Dody_Lukas___: 1. Prabowo Subianto merupakan sosok pemimpin yang beberapa tahun terakhir menjadi buah bibir di kalangan masyarakat, seb\xe2\x80\xa6'"
1/3/2019 22:16,"b'RT @Dody_Lukas___: 48. diakui oleh Transparency International Indonesia (TII) dan Indonesia Corruption Watch (ICW). Di awal tahun 2013, Par\xe2\x80\xa6'"
